Aarhus,http://www.odaa.dk/,International Regional
Alabama,http://open.alabama.gov/,US State
Alaska,http://dggs.alaska.gov/pubs/series/dggs/digital-data-series,US State
Alaska GIS,https://gis.data.alaska.gov/,US State
Alberta,https://open.alberta.ca/opendata,International Regional
Albuquerque,http://www.cabq.gov/abq-data/,US City or County
Alexandria VA,https://www.alexandriava.gov/gis/basic-page/open-data,US City or County
Alkmaar,https://datalab.alkmaar.nl/opendata.html,International Regional
Allerdale,http://datacatalogs.org/catalog/allerdale,International Regional
Amsterdam O+S,https://data.amsterdam.nl/,International Regional
Anchorage,https://www.muni.org/Departments/it/Pages/opendata.aspx,US City or County
Angers,http://data.angers.fr/,International Regional
Ann Arbor,https://www.a2gov.org/services/data/Pages/default.aspx,US City or County
Antwerp,https://dams.antwerpen.be/content/open-data,International Regional
Aquitaine and Gironde,https://www.data.gouv.fr/en/organizations/gironde-numerique/,International Regional
Aragon,http://opendata.aragon.es/,International Regional
Argentina ,https://datos.gob.ar,International Country
Arizona,http://openbooks.az.gov/app/transparency/index.html,US State
Arizona Goelogical Survey,https://azgs.arizona.edu/index.php,Other State Related
Arkansas ,https://transparency.arkansas.gov/,US State
Arkansas Geographic Information Office,http://gis.arkansas.gov/,Other State Related
Arlington ,https://data.arlingtonva.us/home,US City or County
Arvada,http://arvada.org/opendata/,US City or County
Asheville,https://data-avl.opendata.arcgis.com/,US City or County
Asturias,https://transparencia.asturias.es/,International Regional
Atlanta,http://gis.atlantaga.gov/,US City or County
Austin,http://data.austintexas.gov/,US City or County
Australia,http://data.gov.au/,International Country
Australian Capital Territory,https://www.data.act.gov.au/,International Regional
Austria,http://data.gv.at/,International Country
Badalona,https://datos.gob.es/es/iniciativas/open-data-badalona,International Regional
Bah’a Blanca,https://datos.bahia.gob.ar/dataset,International Regional
Bahrain,http://www.bahrain.bh/wps/portal/data/,International Country
Balearic Islands,https://datos.gob.es/en/catalogo/a04003003-guies-turistics-illes-balears,International Regional
Baltimore,http://data.baltimorecity.gov/,US City or County
Barcelona,https://opendata-ajuntament.barcelona.cat/en/,International Regional
Bari,http://opendata.comune.bari.it/,International Regional
Baton Rouge,https://data.brla.gov/,US City or County
Belgium,http://data.gov.be/,International Country
Belleville,https://www.belleville.net/541/Open-Government,US City or County
Berlin,http://daten.berlin.de/,International Regional
Birmingham,http://www.birmingham.gov.uk/open-data,International Regional
"Bloomington, Indiana",https://data.bloomington.in.gov/,US City or County
Bologna,http://dati.comune.bologna.it/,International Regional
Boston,https://data.cityofboston.gov/,US City or County
Boston Enterprise GIS,http://www.cityofboston.gov/maps/,US City or County
Brazil,http://dados.gov.br/,International Country
Bremen,http://www.daten.bremen.de/,International Regional
Brisbane,https://www.data.brisbane.qld.gov.au/,International Regional
British Columbia,http://www.data.gov.bc.ca/,International Regional
British Columbia Local Government,http://www.civicinfo.bc.ca/,International Regional
"Buenos Aires, Argentina",http://data.buenosaires.gob.ar/,International Regional
Burlington,https://navburl-burlington.opendata.arcgis.com/pages/data,International Regional
Burlington GIS,https://data-burlingtonvt.opendata.arcgis.com/,US City or County
California,https://data.ca.gov/,US State
Canada,http://open.canada.ca/en,International Country
Castilla-La Mancha,https://datosabiertos.castillalamancha.es/,International Regional
Catalonya,http://dadesobertes.gencat.cat/,International Regional
Chamber of Deputies,http://dati.camera.it/it/,International Regional
Champaign,https://gis-cityofchampaign.opendata.arcgis.com/,US City or County
Chapel Hill,https://www.chapelhillopendata.org/page/home1/,US City or County
"Charlotte, NC",https://data.charlottenc.gov/,US City or County
Chesapeake VA,https://public-chesva.opendata.arcgis.com/,US City or County
Chicago,http://data.cityofchicago.org/,US City or County
Chile,http://datos.gob.cl/,International Country
Colombia,www.datos.gov.co,International Country
Colombus,https://opendata.columbus.gov/,US City or County
Colorado,https://data.colorado.gov/,US State
Connecticut,http://transparency.ct.gov/html/main.asp,US State
Cook County,http://data.cookcountyil.gov/,US City or County
County of Grand Prairie No. 1,http://www.countygp.ab.ca/EN/main/community/maps-gis/open-data/data.html,International Regional
CSIRO,https://data.csiro.au/dap/home?execution=e1s1,International Regional
Delaware,http://www.delaware.gov/data/,US State
Denmark,http://digitaliser.dk/,International Country
Denver,http://data.denvergov.org/,US City or County
Denver Regional Council,https://drcog.org/,Other State Related
District of Columbia,http://data.dc.gov/,US State
District of North Vancouver,http://geoweb.dnv.org/data/,International Regional
Durham,https://durhamnc.gov/1487/Open-Government,US City or County
Edmonton,http://data.edmonton.ca/,International Regional
Emilia-Romagna Open Data,http://dati.emilia-romagna.it/,International Regional
Enschede,https://www.enschede.nl/open-data,International Regional
Estonia,https://www.europeandataportal.eu/en/news/open-data-portal-estonia,International Country
European Union,https://data.europa.eu/en,International Regional
Euskadi (Basque Country),http://opendata.euskadi.net/,International Regional
Fairfax County,https://www.fairfaxcounty.gov/maps/open-geospatial-data,US City or County
Fingal,http://data.fingal.ie/,International Regional
Finland,http://www.suomi.fi/suomifi/tyohuone/yhteiset_palvelut/avoin_data/,International Country
Florida,http://www.floridahasarighttoknow.com/,US State
Florida GIS ,https://geodata.floridagio.gov/,
France,http://data.gouv.fr/,International Country
Fredericton,http://www.fredericton.ca/en/citygovernment/DataMain.asp,International Regional
Galicia,http://abertos.xunta.es/portada/,International Regional
Georgia,http://www.open.georgia.gov/,US State
Germany,https://www.govdata.de/,International Country
Ghana,http://data.gov.gh,International Country
Gilpin County,https://gilpin-county-gis-data-gilpincdd.hub.arcgis.com/,US City or County
Graz,http://data.graz.gv.at/,International Regional
Great Manchester,http://open.manchester.gov.uk/,International Regional
Greece,http://geodata.gov.gr/geodata/,International Country
Guelph,https://guelph.ca/city-hall/open-government/,International Regional
Halifax,https://www.halifax.ca/home/open-data,International Regional
Hamburg,http://daten.hamburg.de/,International Regional
Hamilton,http://www.hamilton.ca/ProjectsInitiatives/OpenData/,International Regional
Hartford,https://data.hartford.gov/,US City or County
Hauts-de-Seine,https://opendata.hauts-de-seine.fr/pages/accueil/,International Regional
Hawaii,http://data.hawaii.gov/,US State
Hawaii GIS,http://gis.hicentral.com/,Other State Related
Helsinki Region Infoshare,https://hri.fi/en_gb/,International Regional
Hidalgo County,https://www.hidalgocounty.us/2703/Open-Government,US City or County
Hong Kong,https://data.gov.hk/en/,International Country
Honolulu,https://data.honolulu.gov/,US City or County
Houston,http://data.houstontx.gov/,US City or County
Idaho,https://gis.idaho.gov/,US State
Illinois,http://data.illinois.gov/,US State
India,http://data.gov.in/,International Country
Indiana,http://www.stats.indiana.edu/,US State
Indianapolis/Marion County,http://data.indy.gov/,US City or County
Indonesia,https://data.go.id/,International Country
Iowa,http://data.iowa.gov/,US State
Ireland,https://data.gov.ie/,International Country
Italian Parliament,http://dati.camera.it/it/,International Regional
Italy,http://www.dati.gov.it/,International Country
Italy Senate,http://dati.senato.it/,International Regional
Japan,https://www.data.go.jp/?lang=english,International Country
Junta de Castilla y Le—n,http://www.datosabiertos.jcyl.es/,International Regional
Jyväskylässä,http://data.jyvaskyla.fi/,International Regional
Kansas,https://ag.ks.gov/open-government,US State
Kansas City,https://data.kcmo.org/,US City or County
Kent,https://www.kent.gov.uk/about-the-council/information-and-data/data-about-the-council,International Regional
Kentucky,https://transparency.ky.gov/Pages/default.aspx,US State
Kenya,http://opendata.go.ke/,International Country
King County,https://data.kingcounty.gov/,US City or County
La Rochelle,https://www.larochelle.fr/action-municipale/ville-connectee/la-rochelle-pionniere-sur-lopen-data,International Regional
Lake County,http://data-lakecountyil.opendata.arcgis.com/,US City or County
Langley,https://data-tol.opendata.arcgis.com/,International Regional
Las Vegas,https://www.lasvegasnevada.gov/Government/Transparency,US City or County
Le Mans,http://www.lemans.fr/citoyen/la-collectivite/lopen-data/,International Regional
Leipzig,https://opendata.leipzig.de/,International Regional
Lexington,https://data.lexingtonky.gov/,US City or County
Library of the National Congress,http://datos.bcn.cl/es/,International Regional
Lichfield,http://lichfielddc.gov.uk/,International Regional
Lincoln NE,http://opendata.lincoln.ne.gov/,US City or County
Linz,http://data.linz.gv.at/,International Regional
Little Rock AR,https://data.littlerock.gov/,US City or County
Lleida,https://www.paeria.es/ang/poblacio.asp,International Regional
Loire-Atlantique,http://data.loire-atlantique.fr/,International Regional
Lombardy,https://dati.lombardia.it/,International Regional
London,https://opendata.london.ca/,International Regional
London,https://data.london.gov.uk/,International Regional
Los Angeles,https://controllerdata.lacity.org/browse,US City or County
Los Angeles County,https://data.lacounty.gov/,US City or County
Loudoun County,https://www.arcgis.com/home/item.html?id=fc9a9ee1d1744ec298c60a911b08d6ea,US City or County
Louisiana,https://wwwcfprd.doa.louisiana.gov/latrac/portal.cfm,US State
Louisville,https://data.louisvilleky.gov/,US City or County
Lucca,http://opendata.provincia.lucca.it/,International Regional
Madison,https://data.cityofmadison.com/,US City or County
Maine,https://www.maine.gov/geolib/catalog.html,US State
Manchester,http://open.manchester.gov.uk/,International Regional
Marion County,http://data.indy.gov/,US City or County
Maryland,https://opendata.maryland.gov/,US State
Massachusetts,https://www.mass.gov/get-massgis-geospatial-data,US State
Medicine Hat,https://www.medicinehat.ca/government/departments/information-and-computer-services/gis-mapping,International Regional
Merton Council,http://www.merton.gov.uk/council/dp-foi/opendata.htm,International Regional
METI,https://www.meti.go.jp/english/statistics/,International Regional
Mexico,http://datos.gob.mx/,International Country
Michigan,http://www.michigan.gov/data/,US State
Milan,http://dati.comune.milano.it/,International Regional
Ministry of Finances - Russia,http://government.ru/en/department/69/,International Regional
Minnesota,http://www.state.mn.us/opendata/data.html,US State
"Misiones Province, Argentina",http://www.datos.misiones.gov.ar/,International Regional
Mississauga,http://www.mississauga.ca/portal/residents/publicationsopendatacatalogue,International Regional
Mississippi,http://opendata.gis.ms.gov/,US State
Missouri,http://data.mo.gov/,US State
Missouri Accountability Portal,http://mapyourtaxes.mo.gov/MAP/Portal/Default.aspx,Other State Related
Moers,https://www.moers.de/de/rathaus/offene-daten-moers/,International Regional
Moldova,http://data.gov.md/,International Country
Montana,https://data.mt.gov/,US State
Montevideo,http://montevideo.gub.uy/institucional/montevideo-abierto,International Regional
Montgomery County,https://data.montgomerycountymd.gov/,US City or County
Montpellier,http://opendata.montpelliernumerique.fr/,International Regional
Montreal,http://donnees.ville.montreal.qc.ca/,International Regional
Morocco,http://data.gov.ma/,International Country
Mosman Council,https://www.mosman.nsw.gov.au/,International Regional
Nanaimo,https://www.nanaimo.ca/your-government/maps-data,International Regional
Nantes,https://data.nantesmetropole.fr/pages/home/,International Regional
Nashville,https://data.nashville.gov/,
Navarre,http://www.navarra.es/home_es/Open-Data/,International Regional
Nebraska,https://www.nebraska.gov/government/open-data/,US State
Netherlands,http://data.overheid.nl/,International Country
Nevada,https://open.nv.gov/,US State
New Hampshire,https://www.nh.gov/doit/open-source/index.htm,US State
New Jersey,https://data.nj.gov/,US State
New Mexico,http://www.sunshineportalnm.com/,US State
New Orleans,http://data.nola.gov/,US City or County
New South Wales,http://data.nsw.gov.au/,International Regional
New York,https://data.ny.gov/,US State
New York City,http://www.nyc.gov/data/,US City or County
New York State Data Center,http://esd.ny.gov/NYSDataCenter.html,Other State Related
New Zealand,http://www.data.govt.nz/,International Country
Niagara Falls,http://www.niagarafalls.ca/services/open/data,International Regional
Niagara Region,http://www.niagararegion.ca/government/opendata/default.aspx,International Regional
North Carolina ,https://www.nc.gov/government/open-budget,US State
North Dakota GIS Hub,https://www.gis.nd.gov/,US State
North Devon Council,https://www.northdevon.gov.uk/open-data/,International Regional
North Okanagan,http://www.rdno.ca/index.php/maps/digital-data,International Regional
Norway,http://data.norge.no/,International Country
NY Department of Health,https://health.data.ny.gov/,Other State Related
NY State Senate,https://www.nysenate.gov/,Other State Related
Ohio,http://transparency.ohio.gov/,US State
Oklahoma,https://data.ok.gov/,US State
Oman,https://opendata.om/,International Country
Ontario,http://www.ontario.ca/government/government-ontario-open-data,International Regional
Open GEO-Data (Amsterdam),http://maps.amsterdam.nl/open_geodata/,International Regional
Open UN-Habitat Transparency Initiative,http://open.unhabitat.org/,International Regional
Oregon,http://data.oregon.gov/,US State
Organization for Economic Cooperation and Development (OECD),https://www.oecd.org/gov/digital-government/open-government-data.htm,International Regional
Ottawa,http://data.ottawa.ca/,International Regional
Palo Alto,http://data.cityofpaloalto.org/,US City or County
Pamplona,https://opendata.pamplona.es/,International Regional
Paris,https://opendata.paris.fr/explore/?sort=modified,International Regional
Pennsylvania,https://data.pa.gov/,US State
Peru,https://odpe.org/,International Country
Philadelphia,http://www.opendataphilly.org/,US City or County
PhilippinesÊ,http://data.gov.ph/,International Country
Piedmont,http://www.dati.piemonte.it/,International Regional
Portland,https://www.portland.gov/omf/bts/cgis,US City or County
Portugal,http://www.dados.gov.pt/pt/inicio/inicio.aspx,International Country
Prince George,https://data-cityofpg.opendata.arcgis.com/,International Regional
Prince George's County,https://data.princegeorgescountymd.gov/,US City or County
Providence,https://data.providenceri.gov/,US City or County
Puglia,http://www.dati.puglia.it/,International Regional
Quebec (City),https://library.mcmaster.ca/data/quebec-city-open-data,International Regional
Quebec (Province),https://www.donneesquebec.ca/fr/,International Regional
Queensland,https://data.qld.gov.au/,International Regional
Raleigh,http://www.raleighnc.gov/open/,US City or County
Red Deer,https://data.reddeer.ca/datasets,International Regional
Redbridge,http://data.redbridge.gov.uk/,International Regional
Regina,http://open.regina.ca/,International Regional
Region of Peel,http://opendata.peelregion.ca/,International Regional
Rennes,https://data.rennesmetropole.fr/explore/,International Regional
Republic of Korea,http://www.data.go.kr/,International Country
Research Data Australia,http://researchdata.ands.org.au/,International Regional
Rheinland Pfalz,http://www.daten.rlp.de/,International Regional
Rhode Island,http://www.ri.gov/data/,US State
Rockford,https://data.illinois.gov/organization/city-of-rockford,US City or County
Romania,http://data.gov.ro/,International Country
Rome,https://dati.comune.roma.it/,International Regional
Rostock,https://www.opendata-hro.de/,International Regional
Rotterdam,http://rotterdamopendata.nl,International Regional
Saanich,http://www.saanich.ca/data/catalogue/index.php,International Regional
Salford City Council,https://salforddataquay.uk/,International Regional
San Francisco,http://www.datasf.org/,US City or County
San Mateo County,https://data.smcgov.org/,US City or County
Santa Cruz,https://data.ca.gov/dataset/city-of-santa-cruz,US City or County
Santa Rosa,https://data.srcity.org/,US City or County
Sardinia,http://www.sardegnageoportale.it/index.html,International Regional
Saskatoon,https://www.saskatoon.ca/moving-around/transit/open-data-saskatoon-transit,International Regional
Sa™ne-et-Loire,http://www.opendata71.fr/,International Regional
Scottsdale,http://data.scottsdaleaz.gov/,US City or County
Seattle,http://data.seattle.gov/,US City or County
Seoul,http://data.seoul.go.kr/,International Regional
Shizuoka Prefecture(Shizuoka),http://open-data.pref.shizuoka.jp/htdocs/,International Regional
Sierra Leone,https://opendatasl.gov.sl/,International Country
Singapore,http://data.gov.sg/,International Country
Sioux Falls SD,http://gis-cityofsfgis.opendata.arcgis.com/,US City or County
Slovak Republic,http://data.gov.sk/,International Country
Somerville,http://data.somervillema.gov/,US City or County
South Africa,http://southafrica.opendataforafrica.org/,International Country
South Australia,http://data.sa.gov.au,International Regional
South Australia Spatial Planning,https://www.saplanningportal.sa.gov.au/,International Regional
South Bend,https://data.southbendin.gov/,US City or County
South Carolina GIS ,https://www.dnr.sc.gov/gis.html,Other State Related
South Dakota,http://open.sd.gov/,US State
Spain,http://datos.gob.es/,International Country
Spokane,https://my.spokanecity.org/opendata/,US City or County
Stockholm,https://dataportalen.stockholm.se/dataportalen/,International Regional
Surrey,http://www.surrey.ca/city-services/658.aspx,International Regional
Sutton,https://www.sutton.gov.uk/-/open-data,International Regional
Sweden,https://www.scb.se/en/services/open-data-api/,International Country
Tampere,http://tampere.fi/avoindata,International Regional
Tanzania,https://tanzania.opendataforafrica.org/,International Country
Tasmania Ð Spatial Data Work,https://dpipwe.tas.gov.au/land-tasmania/location-data-products-and-services/tasmanian-spatial-data,International Regional
Tempe,https://data.tempe.gov/,US City or County
Tennessee,https://www.tn.gov/finance/sts-gis/gis/data.html,US State
Terrassa,http://opendata.terrassa.cat/,International Regional
Texas,https://data.texas.gov/,US State
Texas Transparency,http://www.texastransparency.org/opendata/index.php,Other State Related
Timor Leste,http://www.transparency.gov.tl/,International Country
Tirol,https://www.tirol.gv.at/data/,International Regional
Toronto,http://www.toronto.ca/open,International Regional
Toulouse,https://data.toulouse-metropole.fr/pages/accueil/,International Regional
Trafford Council,http://www.trafford.gov.uk/opendata/,International Regional
Trentino,http://dati.trentino.it/,International Regional
Trento,http://www.territorio.provincia.tn.it/portal/server.pt?open=512&objID=862&PageID=32157&mode=2&in_hi_userid=18720&cached=true,International Regional
Trinidad and Tobago,http://data.gov.tt/,International Country
Tunisia,http://www.data.gov.tn/,International Country
Turin,http://www.comune.torino.it/aperto,International Regional
Tuscany,http://dati.toscana.it/,International Regional
Udine,http://opendata.comune.udine.it/,International Regional
Ukraine,http://data.gov.ua/,International Country
United Arab Emirates,https://bayanat.ae/,International Country
United Kingdom,http://data.gov.uk/,International Country
United Nations,http://data.un.org/,International Regional
Uruguay,https://data.org.uy/,International Country
Utah,https://opendata.utah.gov/,US State
Vancouver,http://data.vancouver.ca/,International Regional
Veneto,http://dati.veneto.it/,International Regional
Venice,http://dati.venezia.it/,International Regional
Vermont,https://data.vermont.gov/,US State
Vicenza Geodata,http://geoportale.provincia.vicenza.it/home.asp?sezione=1&cat=8,International Regional
Victoria,http://www.data.vic.gov.au/,International Regional
Vienna,http://data.wien.gv.at/,International Regional
Virginia, http://data.virginia.gov,US State
Vorarlberg,http://data.vorarlberg.gv.at/,International Regional
Wake County,http://www.wakegov.com/data/Pages/default.aspx,US City or County
Warwickshire,https://apps.warwickshire.gov.uk/OpenData,International Regional
Washington,http://data.wa.gov/,US State
Waterloo,https://data.waterloo.ca/,International Regional
Weatherford GIS,http://ci.weatherford.tx.us/117/GISMapping,US City or County
Wellington GIS,https://www.wellingtonfl.gov/288/Geographic-Information-System-GIS,US City or County
West Virginia GIS,http://mapwv.gov/gis_services.html,Other State Related
Western Australia Ð NewSLIP,https://www2.landgate.wa.gov.au/web/guest/slipstream-e-news,International Regional
Windsor,https://opendata.citywindsor.ca/,International Regional
Wisconsin GIS ,http://data-wi-dnr.opendata.arcgis.com/,Other State Related
World Bank,http://data.worldbank.org/,International Regional
Wyoming GIS ,https://www.geospatialhub.org/,Other State Related
Wyre Council,http://www.wyre.gov.uk/opendata,International Regional
Zaragoza,http://www.zaragoza.es/ciudad/risp/,International Regional
Zurich,https://data.stadt-zuerich.ch/,International Regional
